,Unnamed: 0,channelId,videoId,videoTitle,publishTime,publishedAt,title_lowered,is_trailer
30,30,UCIrgJInjLS2BhlHOMDW7v0g,vOTDb9UqTa0,On Pointe | Official Trailer | Disney+,2020-11-25T18:07:08Z,2020-11-25T18:07:08Z,on pointe | official trailer | disney+,True
31,31,UCIrgJInjLS2BhlHOMDW7v0g,Z6ET4N6Sfhs,Big Shot | Official Trailer | Disney+,2021-03-24T14:54:20Z,2021-03-24T14:54:20Z,big shot | official trailer | disney+,True
32,32,UCIrgJInjLS2BhlHOMDW7v0g,tLrwPjLlOjM,Turner &amp; Hooch | Official Trailer | Disney+,2021-06-23T17:05:09Z,2021-06-23T17:05:09Z,turner &amp; hooch | official trailer | disney+,True
33,33,UCIrgJInjLS2BhlHOMDW7v0g,SRDGQZHsiGg,Hip Hop Nutcracker | Official Trailer | Disney+,2022-11-03T16:00:48Z,2022-11-03T16:00:48Z,hip hop nutcracker | official trailer | disney+,True
34,34,UCIrgJInjLS2BhlHOMDW7v0g,OD3UhmRy4lg,The Mighty Ducks: Game Changers | Official Trailer | Disney+,2021-02-24T19:35:03Z,2021-02-24T19:35:03Z,the mighty ducks: game changers | official trailer | disney+,True
35,35,UCIrgJInjLS2BhlHOMDW7v0g,vOTDb9UqTa0,On Pointe | Official Trailer | Disney+,2020-11-25T18:07:08Z,2020-11-25T18:07:08Z,on pointe | official trailer | disney+,True
36,36,UCIrgJInjLS2BhlHOMDW7v0g,GlYxLChVy_0,"Doogie Kamealoha, M.D. | Official Trailer | Disney+",2021-08-27T16:46:24Z,2021-08-27T16:46:24Z,"doogie kamealoha, m.d. | official trailer | disney+",True
37,37,UCIrgJInjLS2BhlHOMDW7v0g,OD3UhmRy4lg,The Mighty Ducks: Game Changers | Official Trailer | Disney+,2021-02-24T19:35:03Z,2021-02-24T19:35:03Z,the mighty ducks: game changers | official trailer | disney+,True
38,38,UCIrgJInjLS2BhlHOMDW7v0g,EGsoC0bWakU,Zombies 3 | Official Trailer | Disney+,2022-06-23T16:00:04Z,2022-06-23T16:00:04Z,zombies 3 | official trailer | disney+,True
39,39,UCIrgJInjLS2BhlHOMDW7v0g,qNlrmBWY25Q,The Proud Family: Louder and Prouder | Official Trailer | Disney+,2022-01-14T17:02:24Z,2022-01-14T17:02:24Z,the proud family: louder and prouder | official trailer | disney+,True
40,40,UCIrgJInjLS2BhlHOMDW7v0g,-VVHUq4tOzg,OLIVIA RODRIGO: driving home 2 u (a SOUR film) | Official Trailer | Disney+,2022-03-17T16:08:42Z,2022-03-17T16:08:42Z,olivia rodrigo: driving home 2 u (a sour film) | official trailer | disney+,True
41,41,UCIrgJInjLS2BhlHOMDW7v0g,S1JmLvFWi0w,Earth to Ned | Official Trailer | Disney+,2020-08-17T14:23:34Z,2020-08-17T14:23:34Z,earth to ned | official trailer | disney+,True
44,44,UCIrgJInjLS2BhlHOMDW7v0g,BmYhYPNbhtw,Inside Pixar | Official Trailer | Disney+,2020-11-11T18:10:02Z,2020-11-11T18:10:02Z,inside pixar | official trailer | disney+,True
45,45,UCIrgJInjLS2BhlHOMDW7v0g,0FKJNcV9Ym4,The Black Hole | Unofficial Official Trailer | Disney+,2020-10-28T00:42:55Z,2020-10-28T00:42:55Z,the black hole | unofficial official trailer | disney+,True
46,46,UCIrgJInjLS2BhlHOMDW7v0g,D7HrBvBJR-c,Tudo Igual... SQN | Official Trailer | Disney+,2022-07-20T22:45:50Z,2022-07-20T22:45:50Z,tudo igual... sqn | official trailer | disney+,True
49,49,UCIrgJInjLS2BhlHOMDW7v0g,lFzVJEksoDY,The Lion King | Original Trailer | Disney+,2019-11-08T17:00:10Z,2019-11-08T17:00:10Z,the lion king | original trailer | disney+,True
50,50,UCIrgJInjLS2BhlHOMDW7v0g,SwAF6sYb94s,FAUCI | Official Trailer | Disney+,2021-10-04T13:05:03Z,2021-10-04T13:05:03Z,fauci | official trailer | disney+,True
51,51,UCIrgJInjLS2BhlHOMDW7v0g,qNlrmBWY25Q,The Proud Family: Louder and Prouder | Official Trailer | Disney+,2022-01-14T17:02:24Z,2022-01-14T17:02:24Z,the proud family: louder and prouder | official trailer | disney+,True
