,Unnamed: 0,channelId,videoId,videoTitle,publishTime,publishedAt,title_lowered,is_trailer
28,28,UCwSIJCMWZC5GDM59wj7pMsg,5tdNZCB7o04,Solos | Official Trailer | Prime Video,2021-05-10T14:59:54Z,2021-05-10T14:59:54Z,solos | official trailer | prime video,True
29,29,UCwSIJCMWZC5GDM59wj7pMsg,RRJ05l0xVsU,Fairfax | Official Trailer | Prime Video,2021-10-12T16:59:52Z,2021-10-12T16:59:52Z,fairfax | official trailer | prime video,True
30,30,UCwSIJCMWZC5GDM59wj7pMsg,5tdNZCB7o04,Solos | Official Trailer | Prime Video,2021-05-10T14:59:54Z,2021-05-10T14:59:54Z,solos | official trailer | prime video,True
31,31,UCwSIJCMWZC5GDM59wj7pMsg,vmm76SIXhVA,Backstage With Katherine Ryan | Official Trailer | Prime Video,2022-05-19T09:09:36Z,2022-05-19T09:09:36Z,backstage with katherine ryan | official trailer | prime video,True
32,32,UCwSIJCMWZC5GDM59wj7pMsg,LfRCwf1VtBE,Boss Level | Official Trailer | Prime Video,2021-08-11T12:59:43Z,2021-08-11T12:59:43Z,boss level | official trailer | prime video,True
33,33,UCwSIJCMWZC5GDM59wj7pMsg,N2mvC1DDnQc,Inside Borussia Dortmund - Official Trailer | Prime Video,2019-08-07T07:08:47Z,2019-08-07T07:08:47Z,inside borussia dortmund - official trailer | prime video,True
34,34,UCwSIJCMWZC5GDM59wj7pMsg,i84yWy-Mnts,The Lie | Official Trailer | Welcome To The Blumhouse | Prime Video,2020-09-16T18:00:06Z,2020-09-16T18:00:06Z,the lie | official trailer | welcome to the blumhouse | prime video,True
35,35,UCwSIJCMWZC5GDM59wj7pMsg,i84yWy-Mnts,The Lie | Official Trailer | Welcome To The Blumhouse | Prime Video,2020-09-16T18:00:06Z,2020-09-16T18:00:06Z,the lie | official trailer | welcome to the blumhouse | prime video,True
36,36,UCwSIJCMWZC5GDM59wj7pMsg,mo4L6mfrRTs,Le Mans: Racing is Everything - Official Trailer | Prime Video,2017-05-11T22:51:54Z,2017-05-11T22:51:54Z,le mans: racing is everything - official trailer | prime video,True
37,37,UCwSIJCMWZC5GDM59wj7pMsg,roTxDPjcmYY,One Mississipi - Launch Trailer | Prime Video,2016-08-07T21:54:05Z,2016-08-07T21:54:05Z,one mississipi - launch trailer | prime video,True
38,38,UCwSIJCMWZC5GDM59wj7pMsg,p9KiPrpPT3g,Outlander Season 2 - Official Trailer | Prime Video,2016-02-15T09:09:35Z,2016-02-15T09:09:35Z,outlander season 2 - official trailer | prime video,True
39,39,UCwSIJCMWZC5GDM59wj7pMsg,nY4ICH4VYbo,Mad Dogs - Trailer | Prime Video,2015-12-11T10:04:14Z,2015-12-11T10:04:14Z,mad dogs - trailer | prime video,True
40,40,UCwSIJCMWZC5GDM59wj7pMsg,EY5Slz1-_90,Take Us Home: Leeds United - Official Trailer | Prime Video,2019-07-23T15:59:56Z,2019-07-23T15:59:56Z,take us home: leeds united - official trailer | prime video,True
41,41,UCwSIJCMWZC5GDM59wj7pMsg,VrWTclxakpM,All The Old Knives | Official Trailer | Prime Video,2022-03-04T10:00:57Z,2022-03-04T10:00:57Z,all the old knives | official trailer | prime video,True
42,42,UCwSIJCMWZC5GDM59wj7pMsg,CwMM6Pp9DV4,Transparent Season 4 – Official Trailer [HD] | Prime Video,2017-07-28T17:04:50Z,2017-07-28T17:04:50Z,transparent season 4 – official trailer [hd] | prime video,True
43,43,UCwSIJCMWZC5GDM59wj7pMsg,qvfrXwjedao,The Wheel of Time | Official Teaser Trailer | Prime Video,2021-09-02T16:01:05Z,2021-09-02T16:01:05Z,the wheel of time | official teaser trailer | prime video,True
44,44,UCwSIJCMWZC5GDM59wj7pMsg,0SJHfvBRg8c,As We See It | Official Trailer | Prime Video,2021-11-22T17:59:46Z,2021-11-22T17:59:46Z,as we see it | official trailer | prime video,True
45,45,UCwSIJCMWZC5GDM59wj7pMsg,5tdNZCB7o04,Solos | Official Trailer | Prime Video,2021-05-10T14:59:54Z,2021-05-10T14:59:54Z,solos | official trailer | prime video,True
46,46,UCwSIJCMWZC5GDM59wj7pMsg,RRJ05l0xVsU,Fairfax | Official Trailer | Prime Video,2021-10-12T16:59:52Z,2021-10-12T16:59:52Z,fairfax | official trailer | prime video,True
47,47,UCwSIJCMWZC5GDM59wj7pMsg,sWkDrYs8ZTY,Vikings Season 4 Returns - Official Trailer | Prime Video,2016-10-20T15:02:41Z,2016-10-20T15:02:41Z,vikings season 4 returns - official trailer | prime video,True
48,48,UCwSIJCMWZC5GDM59wj7pMsg,1dNB-SgmFc0,Jexi - Official Trailer | Prime Video,2020-02-14T16:59:54Z,2020-02-14T16:59:54Z,jexi - official trailer | prime video,True
49,49,UCwSIJCMWZC5GDM59wj7pMsg,e2YFitGwX20,Cinderella | Official Trailer | Prime Video,2021-08-03T16:59:46Z,2021-08-03T16:59:46Z,cinderella | official trailer | prime video,True
50,50,UCwSIJCMWZC5GDM59wj7pMsg,CwMM6Pp9DV4,Transparent Season 4 – Official Trailer [HD] | Prime Video,2017-07-28T17:04:50Z,2017-07-28T17:04:50Z,transparent season 4 – official trailer [hd] | prime video,True
51,51,UCwSIJCMWZC5GDM59wj7pMsg,qvfrXwjedao,The Wheel of Time | Official Teaser Trailer | Prime Video,2021-09-02T16:01:05Z,2021-09-02T16:01:05Z,the wheel of time | official teaser trailer | prime video,True
52,52,UCwSIJCMWZC5GDM59wj7pMsg,0SJHfvBRg8c,As We See It | Official Trailer | Prime Video,2021-11-22T17:59:46Z,2021-11-22T17:59:46Z,as we see it | official trailer | prime video,True
53,53,UCwSIJCMWZC5GDM59wj7pMsg,DsZ4zKGPsEQ,Amazon Originals: Zombieland pilot trailer | Prime Video,2013-04-22T09:54:09Z,2013-04-22T09:54:09Z,amazon originals: zombieland pilot trailer | prime video,True
54,54,UCwSIJCMWZC5GDM59wj7pMsg,RRJ05l0xVsU,Fairfax | Official Trailer | Prime Video,2021-10-12T16:59:52Z,2021-10-12T16:59:52Z,fairfax | official trailer | prime video,True
55,55,UCwSIJCMWZC5GDM59wj7pMsg,zFr7ECzI-mA,Eat. Race. Win. - Official Trailer | Prime Video,2018-06-26T08:00:15Z,2018-06-26T08:00:15Z,eat. race. win. - official trailer | prime video,True
56,56,UCwSIJCMWZC5GDM59wj7pMsg,qpXDykYC6Qo,Goliath - Teaser Trailer | Prime Video,2016-08-07T21:53:45Z,2016-08-07T21:53:45Z,goliath - teaser trailer | prime video,True
57,57,UCwSIJCMWZC5GDM59wj7pMsg,6-Sh_02W0rw,Mozart in the Jungle - Season 2 Trailer | Prime Video,2015-12-01T16:00:08Z,2015-12-01T16:00:08Z,mozart in the jungle - season 2 trailer | prime video,True
58,58,UCwSIJCMWZC5GDM59wj7pMsg,3F9cy92fhrA,Homecoming | Season 2 | Official Trailer | Prime Video,2020-04-28T15:30:00Z,2020-04-28T15:30:00Z,homecoming | season 2 | official trailer | prime video,True
59,59,UCwSIJCMWZC5GDM59wj7pMsg,D_wBulc6_Sg,American Gods Season 2 – Official Trailer | Prime Video,2018-10-05T18:30:00Z,2018-10-05T18:30:00Z,american gods season 2 – official trailer | prime video,True
60,60,UCwSIJCMWZC5GDM59wj7pMsg,slOXypI6tXY,The Marvelous Mrs. Maisel Season 1– Official Trailer | Prime Video,2017-10-10T13:00:08Z,2017-10-10T13:00:08Z,the marvelous mrs. maisel season 1– official trailer | prime video,True
61,61,UCwSIJCMWZC5GDM59wj7pMsg,OG_zb8VZPMA,Sneaky Pete - Full Trailer | Prime Video,2016-12-15T14:40:14Z,2016-12-15T14:40:14Z,sneaky pete - full trailer | prime video,True
63,63,UCwSIJCMWZC5GDM59wj7pMsg,fLbVOEnoR_w,The Tick – Season 1 Trailer | Prime Video,2017-07-12T16:33:43Z,2017-07-12T16:33:43Z,the tick – season 1 trailer | prime video,True
64,64,UCwSIJCMWZC5GDM59wj7pMsg,YaO3Lj4b8PQ,The Boys Season 2 | Official Teaser Trailer | Prime Video,2020-07-08T16:00:22Z,2020-07-08T16:00:22Z,the boys season 2 | official teaser trailer | prime video,True
65,65,UCwSIJCMWZC5GDM59wj7pMsg,Q2earKujeE4,Outlander Season 3 - Official Trailer [HD] | Prime Video,2017-07-26T16:50:19Z,2017-07-26T16:50:19Z,outlander season 3 - official trailer [hd] | prime video,True
66,66,UCwSIJCMWZC5GDM59wj7pMsg,-gQ_I-tVk9E,Ten Percent | Official Trailer | Prime Video,2022-03-31T08:59:52Z,2022-03-31T08:59:52Z,ten percent | official trailer | prime video,True
67,67,UCwSIJCMWZC5GDM59wj7pMsg,jpBw8QOiLXw,Hanna Season 3 | Official Trailer | Prime Video,2021-11-10T16:59:54Z,2021-11-10T16:59:54Z,hanna season 3 | official trailer | prime video,True
68,68,UCwSIJCMWZC5GDM59wj7pMsg,Vr5EA528L2M,The Boys: Diabolical | Official Trailer | Prime Video,2022-02-16T15:59:53Z,2022-02-16T15:59:53Z,the boys: diabolical | official trailer | prime video,True
69,69,UCwSIJCMWZC5GDM59wj7pMsg,GhJOtD6OFS0,Upload | Official Trailer | Prime Video,2020-05-21T11:00:08Z,2020-05-21T11:00:08Z,upload | official trailer | prime video,True
70,70,UCwSIJCMWZC5GDM59wj7pMsg,LksBi8gzeEc,Vikings Season 4 - Launch Trailer | Prime Video,2015-08-10T14:11:50Z,2015-08-10T14:11:50Z,vikings season 4 - launch trailer | prime video,True
71,71,UCwSIJCMWZC5GDM59wj7pMsg,GhJOtD6OFS0,Upload | Official Trailer | Prime Video,2020-05-21T11:00:08Z,2020-05-21T11:00:08Z,upload | official trailer | prime video,True
72,72,UCwSIJCMWZC5GDM59wj7pMsg,9s5Z5f9dRFM,Without Remorse | Official Trailer | Prime Video,2021-03-03T17:00:03Z,2021-03-03T17:00:03Z,without remorse | official trailer | prime video,True
73,73,UCwSIJCMWZC5GDM59wj7pMsg,nqYwM0eyXnk,Borat Supplemental Reportings | Official Trailer | Prime Video,2021-05-19T11:24:49Z,2021-05-19T11:24:49Z,borat supplemental reportings | official trailer | prime video,True
74,74,UCwSIJCMWZC5GDM59wj7pMsg,Sakc54uEtbU,Guns Akimbo | Official Trailer | Prime Video,2021-07-07T16:22:22Z,2021-07-07T16:22:22Z,guns akimbo | official trailer | prime video,True
75,75,UCwSIJCMWZC5GDM59wj7pMsg,454s1tXWhYM,Upload Season 2 | Official Trailer | Prime Video,2022-02-23T16:04:38Z,2022-02-23T16:04:38Z,upload season 2 | official trailer | prime video,True
76,76,UCwSIJCMWZC5GDM59wj7pMsg,8Ki1A2tvSQc,Panic | Official Trailer | Prime Video,2021-05-12T17:59:47Z,2021-05-12T17:59:47Z,panic | official trailer | prime video,True
77,77,UCwSIJCMWZC5GDM59wj7pMsg,Vr5EA528L2M,The Boys: Diabolical | Official Trailer | Prime Video,2022-02-16T15:59:53Z,2022-02-16T15:59:53Z,the boys: diabolical | official trailer | prime video,True
78,78,UCwSIJCMWZC5GDM59wj7pMsg,elqc8KpKARY,I Want You Back | Official Trailer | Prime Video,2022-02-03T10:23:07Z,2022-02-03T10:23:07Z,i want you back | official trailer | prime video,True
79,79,UCwSIJCMWZC5GDM59wj7pMsg,7W9uB1cQtZ0,Modern Love - Official Trailer | Prime Video,2019-09-12T15:00:09Z,2019-09-12T15:00:09Z,modern love - official trailer | prime video,True
80,80,UCwSIJCMWZC5GDM59wj7pMsg,elqc8KpKARY,I Want You Back | Official Trailer | Prime Video,2022-02-03T10:23:07Z,2022-02-03T10:23:07Z,i want you back | official trailer | prime video,True
